seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
8,1,Florescent,ridge,full_ex,1.0,0.42,-0.015003573662418935,0.14962295548261623
8,1,Florescent,ridge,full_1fcs,1.0,0.78,-0.015003573662418935,0.14962295548261623
8,1,Florescent,ridge,full_mfcs,1.0,0.78,-0.015003573662418935,0.14962295548261623
8,2,Florescent,ridge,full_ex,1.0,0.52,0.011368772655085502,0.13591582642009542
8,2,Florescent,ridge,full_1fcs,1.0,0.76,0.011368772655085502,0.13591582642009542
8,2,Florescent,ridge,full_mfcs,1.0,1.1400000000000001,0.011368772655085502,0.13591582642009542
8,3,Florescent,ridge,full_ex,1.0,0.62,0.1358964589158904,0.12197937364263689
8,3,Florescent,ridge,full_1fcs,1.0,0.74,0.1358964589158904,0.12197937364263689
8,3,Florescent,ridge,full_mfcs,1.0,0.74,0.1358964589158904,0.12197937364263689
8,4,Florescent,ridge,full_ex,1.0,0.6,0.12893845736050955,0.1271665754601178
8,4,Florescent,ridge,full_1fcs,1.0,0.72,0.12893845736050955,0.1271665754601178
8,4,Florescent,ridge,full_mfcs,1.0,0.72,0.12893845736050955,0.1271665754601178
8,5,Florescent,ridge,full_ex,1.0,0.6,0.12834786067824738,0.12031291601091276
8,5,Florescent,ridge,full_1fcs,1.0,0.72,0.12834786067824738,0.12031291601091276
8,5,Florescent,ridge,full_mfcs,1.0,0.72,0.12834786067824738,0.12031291601091276
9,1,Florescent,ridge,full_ex,1.0,1.1400000000000001,0.46457170516478136,0.7795807620173811
9,1,Florescent,ridge,full_1fcs,1.0,1.6400000000000001,0.46457170516478136,0.7795807620173811
9,1,Florescent,ridge,full_mfcs,1.0,1.6400000000000001,0.46457170516478136,0.7795807620173811
9,2,Florescent,ridge,full_ex,1.0,0.9400000000000001,0.335703060109368,0.17843881834829384
9,2,Florescent,ridge,full_1fcs,1.0,0.92,0.335703060109368,0.17843881834829384
9,2,Florescent,ridge,full_mfcs,1.0,1.28,0.335703060109368,0.17843881834829384
9,3,Florescent,ridge,full_ex,1.0,0.86,0.17846917828516626,0.18409059498907504
