seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
9,5,Florescent,ridge,full_ex,1.0,0.78,0.09372260410329147,0.0708779437830208
9,5,Florescent,ridge,full_1fcs,1.0,0.72,0.09372260410329147,0.0708779437830208
9,5,Florescent,ridge,full_mfcs,1.0,0.76,0.09372260410329147,0.0708779437830208
10,1,Florescent,ridge,full_ex,1.0,0.4,0.12863835720314126,0.1352532394918644
10,1,Florescent,ridge,full_1fcs,1.0,1.3,0.12863835720314126,0.1352532394918644
10,1,Florescent,ridge,full_mfcs,1.0,1.3,0.12863835720314126,0.1352532394918644
10,2,Florescent,ridge,full_ex,1.0,0.36,0.08072357009478358,0.08924455446018716
10,2,Florescent,ridge,full_1fcs,1.0,1.26,0.08072357009478358,0.08924455446018716
10,2,Florescent,ridge,full_mfcs,1.0,1.62,0.08072357009478358,0.08924455446018716
10,3,Florescent,ridge,full_ex,1.0,0.36,0.01565612875886558,0.1005779943706447
10,3,Florescent,ridge,full_1fcs,1.0,0.48,0.01565612875886558,0.1005779943706447
10,3,Florescent,ridge,full_mfcs,1.0,0.58,0.01565612875886558,0.1005779943706447
10,4,Florescent,ridge,full_ex,1.0,0.42,0.22110576182521718,0.0999008653969151
10,4,Florescent,ridge,full_1fcs,1.0,1.62,0.22110576182521718,0.0999008653969151
10,4,Florescent,ridge,full_mfcs,1.0,1.86,0.22110576182521718,0.0999008653969151
10,5,Florescent,ridge,full_ex,1.0,0.38,0.14230102790906865,0.04492521007049269
10,5,Florescent,ridge,full_1fcs,1.0,1.1400000000000001,0.14230102790906865,0.04492521007049269
10,5,Florescent,ridge,full_mfcs,1.0,1.86,0.14230102790906865,0.04492521007049269
11,1,Florescent,ridge,full_ex,0.0,0.5,-0.019405035727401237,1.0999379332317445
11,1,Florescent,ridge,full_1fcs,0.0,0.36,-0.019405035727401237,1.0999379332317445
11,1,Florescent,ridge,full_mfcs,0.0,0.36,-0.019405035727401237,1.0999379332317445
11,2,Florescent,ridge,full_ex,1.0,0.74,0.14807382380827336,0.19151858748556522
11,2,Florescent,ridge,full_1fcs,1.0,0.72,0.14807382380827336,0.19151858748556522
11,2,Florescent,ridge,full_mfcs,1.0,1.1400000000000001,0.14807382380827336,0.19151858748556522
11,3,Florescent,ridge,full_ex,1.0,1.06,0.4939609297888918,0.07732126585688823
11,3,Florescent,ridge,full_1fcs,1.0,2.22,0.4939609297888918,0.07732126585688823
11,3,Florescent,ridge,full_mfcs,1.0,2.22,0.4939609297888918,0.07732126585688823
11,4,Florescent,ridge,full_ex,1.0,0.8200000000000001,0.24111886271658922,0.23179155902658374
11,4,Florescent,ridge,full_1fcs,1.0,0.8200000000000001,0.24111886271658922,0.23179155902658374
11,4,Florescent,ridge,full_mfcs,1.0,0.8200000000000001,0.24111886271658922,0.23179155902658374
11,5,Florescent,ridge,full_ex,1.0,0.84,0.23645570789190434,0.1551220653697134
11,5,Florescent,ridge,full_1fcs,1.0,0.8200000000000001,0.23645570789190434,0.1551220653697134
11,5,Florescent,ridge,full_mfcs,1.0,0.8200000000000001,0.23645570789190434,0.1551220653697134
12,1,Florescent,ridge,full_ex,0.0,0.48,0.22305174239532918,0.8467944975216645
12,1,Florescent,ridge,full_1fcs,1.0,1.1,0.22305174239532918,0.8467944975216645
12,1,Florescent,ridge,full_mfcs,1.0,1.1,0.22305174239532918,0.8467944975216645
12,2,Florescent,ridge,full_ex,1.0,0.64,0.12887572429943384,0.08747119383857785
12,2,Florescent,ridge,full_1fcs,1.0,0.92,0.12887572429943384,0.08747119383857785
12,2,Florescent,ridge,full_mfcs,1.0,1.42,0.12887572429943384,0.08747119383857785
12,3,Florescent,ridge,full_ex,1.0,0.58,0.18568356696379124,0.13260746265140244
12,3,Florescent,ridge,full_1fcs,1.0,0.84,0.18568356696379124,0.13260746265140244
12,3,Florescent,ridge,full_mfcs,1.0,1.12,0.18568356696379124,0.13260746265140244
12,4,Florescent,ridge,full_ex,1.0,0.52,0.18857429019860655,0.22969462252290063
12,4,Florescent,ridge,full_1fcs,1.0,1.04,0.18857429019860655,0.22969462252290063
12,4,Florescent,ridge,full_mfcs,1.0,1.48,0.18857429019860655,0.22969462252290063
